id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage
ethereum-classic,etc,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,30.92,4485412491,29,6468752996,237245664,32.32,30.38,-1.043315266878583,-3.26361,-155911940.46998978,-3.35921,146098701.327235,210700000,210700000,167.09,-81.49142,2021-05-06T18:34:22.133Z,0.615038,4928.16492,2016-07-25T00:00:00.000Z,,2024-03-18T18:02:09.003Z,67.72189230602207,usd,6772.189230602206
render-token,rndr,Render,https://assets.coingecko.com/coins/images/11636/large/rndr.png?1696511529,11.83,4480306987,30,6250547882,838777071,13.36,11.72,-0.9404492277297276,-7.36398,-490646494.3053751,-9.87027,380659644.393815,531064353.673815,531064353.673815,13.53,-12.59143,2024-03-17T16:30:24.636Z,0.03665669,32173.73202,2020-06-16T13:22:25.900Z,,2024-03-18T18:02:41.044Z,,,
arbitrum,arb,Arbitrum,https://assets.coingecko.com/coins/images/16547/large/photo_2023-03-29_21.47.00.jpeg?1696516109,1.65,4363682624,31,16442284440,778925237,1.75,1.62,-0.08303788820573721,-4.78622,1842702545,73.09469,2653939384,10000000000,10000000000,2.39,-30.89488,2024-01-12T12:29:59.231Z,0.744925,121.7415,2023-09-11T19:40:49.196Z,,2024-03-18T18:02:51.007Z,,,
bittensor,tao,Bittensor,https://assets.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,675.86,4354189104,32,14205245367,55691146,750.27,659.48,-17.247997137707216,-2.4885,-100810649.12954617,-2.26287,6436916,21000000,21000000,757.6,-10.44872,2024-03-07T18:45:36.466Z,30.83,2100.60203,2023-05-14T08:57:53.732Z,,2024-03-18T18:01:32.034Z,,,
immutable-x,imx,Immutable,https://assets.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1696516787,2.78,3857876968,33,5554000128,80276162,2.98,2.76,-0.1684054673121338,-5.70679,-252611500.23617125,-6.14553,1389224659.3898141,2000000000,2000000000,9.52,-70.91327,2021-11-26T01:03:01.536Z,0.378055,632.44358,2022-12-31T07:36:37.649Z,,2024-03-18T18:02:47.193Z,,,
okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,63.24,3792193317,34,14913285954,12765725,65.08,62.8,-1.616979711655155,-2.49311,-99194830.41085577,-2.54909,60000000,235957685.3,300000000,73.8,-14.31971,2024-03-14T00:30:12.502Z,0.580608,10791.15601,2019-01-14T00:00:00.000Z,,2024-03-18T18:02:36.182Z,,,
blockstack,stx,Stacks,https://assets.coingecko.com/coins/images/2069/large/Stacks_Logo_png.png?1709979332,2.6,3752368199,35,4716576173,66261800,2.8,2.58,-0.17810576816888446,-6.41006,-277775993.392025,-6.89246,1446346912.45713,1818000000,1818000000,3.47,-25.11027,2024-03-11T08:24:53.109Z,0.04559639,5604.07451,2020-03-13T02:29:26.415Z,,2024-03-18T18:02:47.197Z,20.670230501578917,usd,2067.0230501578917
the-graph,grt,The Graph,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1696513159,0.397854,3744445820,36,4277732470,239867672,0.437195,0.396493,-0.020545645472179408,-4.91053,-197784849.59948397,-5.01708,9443109861.89204,10788004319,10788004319,2.84,-86.0379,2021-02-12T07:28:45.775Z,0.052051,662.2017,2022-11-22T10:05:03.503Z,,2024-03-18T18:02:47.099Z,,,
hedera-hashgraph,hbar,Hedera,https://assets.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.109668,3677859949,37,5456817976,83791951,0.119579,0.108843,-0.008795655946693057,-7.42479,-311962772.50533533,-7.81896,33699675940.9128,50000000000,50000000000,0.569229,-80.73703,2021-09-15T10:40:28.318Z,0.00986111,1011.94762,2020-01-02T17:30:24.852Z,,2024-03-18T18:02:38.240Z,,,
stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1696501482,0.12673,3622448187,38,6315762467,111910047,0.133202,0.125587,-0.005882436788755802,-4.4358,-181476445.5956912,-4.77077,28678862391.4262,50001787014.7101,50001787014.7101,0.875563,-85.52102,2018-01-03T00:00:00.000Z,0.00047612,26525.99144,2015-03-05T00:00:00.000Z,,2024-03-18T18:02:42.323Z,,,
crypto-com-chain,cro,Cronos,https://assets.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.134261,3557396617,39,4012606831,23933453,0.145287,0.132761,-0.008444160265766415,-5.91723,-247061163.89051294,-6.49399,26596649761.7525,30000000000,,0.965407,-86.07564,2021-11-24T15:53:54.855Z,0.0121196,1009.16821,2019-02-08T00:00:00.000Z,,2024-03-18T18:02:34.620Z,,,
injective-protocol,inj,Injective,https://assets.coingecko.com/coins/images/12882/large/Secondary_Symbol.png?1696512670,38.54,3409973639,40,3857775661,261226692,43.22,38.2,-4.1857010089266,-9.7956,-378249382.0992937,-9.98488,88392222.33,100000000,,52.62,-26.73161,2024-03-14T15:06:22.124Z,0.657401,5764.65874,2020-11-03T16:19:30.576Z,,2024-03-18T18:02:19.637Z,,,
optimism,op,Optimism,https://assets.coingecko.com/coins/images/25244/large/Optimism.png?1696524385,3.29,3302215759,41,14096334640,311205802,3.62,3.26,-0.2978793327674829,-8.3017,-294567836.1038108,-8.18976,1006141600,4294967296,4294967296,4.84,-32.52792,2024-03-06T08:35:50.817Z,0.402159,712.752,2022-06-18T20:54:52.178Z,,2024-03-18T18:02:46.433Z,,,
kaspa,kas,Kaspa,https://assets.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.130566,3008860644,42,3009222737,57053035,0.142935,0.12819,-0.005141439258544407,-3.78862,-109533193.11846066,-3.51249,23049966821.7288,23052740702.0063,28704026601,0.189044,-31.23335,2024-02-20T06:54:58.731Z,0.00017105,75900.69497,2022-05-26T14:42:59.316Z,,2024-03-18T18:02:51.293Z,,,
first-digital-usd,fdusd,First Digital USD,https://assets.coingecko.com/coins/images/31079/large/firstfigital.jpeg?1696529912,0.997858,2994770880,43,2994770880,13745428083,1.004,0.987043,-0.001404203061321607,-0.14052,-14825427.144625187,-0.49261,2997429241.85,2997429241.85,,1.041,-4.27262,2023-10-23T22:55:15.103Z,0.942129,5.80844,2023-08-17T21:55:41.478Z,,2024-03-18T18:02:54.469Z,,,
theta-token,theta,Theta Network,https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1696503349,2.98,2963183728,44,2963183728,127326160,3.34,2.96,-0.15691237804085612,-4.9973,-163197666.00753403,-5.22002,1000000000,1000000000,1000000000,15.72,-81.03032,2021-04-16T13:15:11.190Z,0.04039979,7281.17774,2020-03-13T02:24:16.483Z,,2024-03-18T18:02:16.975Z,18.886859949423346,usd,1888.6859949423347
vechain,vet,VeChain,https://assets.coingecko.com/coins/images/1167/large/VET_Token_Icon.png?1710013505,0.03964386,2874627082,45,3399251466,92257794,0.0428216,0.03925667,-0.003028118267399023,-7.09627,-213125021.92042017,-6.90227,72714516834,85985041177,86712634466,0.280991,-85.88818,2021-04-19T01:08:21.675Z,0.00191713,1968.3469,2020-03-13T02:29:59.652Z,,2024-03-18T18:02:14.958Z,2.9543734546897227,eth,295.4373454689723
