quarter,cc,index
197310,DNK,17.8
197310,FIN,15.9
197310,FRA,18.8
197310,GBR,12.1
197310,GRC,2.07465
197310,ISR,0
197310,ITA,7
197310,JPN,41.7
197310,LUX,23.9
197310,NPL,4.018148865
197310,NLD,28.2
197310,PRT,2.5
197310,SWE,17.8026
197310,USA,19.2
197311,AUT,26.6
197311,CAN,20.5
197311,CHE,43.2
197311,DEU,36.7461
197311,DNK,18.1
197311,FIN,16
197311,FRA,18.9
197311,GBR,12.2
197311,GRC,2.01318
197311,ISR,0
197311,ITA,7.1
197311,JPN,42.1
197311,LUX,24.1
197311,NPL,4.03273113
197311,NLD,28.3
197311,PRT,2.5
197311,SWE,17.9534
197311,USA,19.2
197312,AUT,26.8
197312,CAN,20.5
197312,CHE,43.7
197312,DEU,36.912
197312,DNK,18.4
197312,FIN,16.1
197312,FRA,19
197312,GBR,12.2
197312,GRC,2.07395
197312,ISR,0
197312,ITA,7.2
197312,JPN,43
197312,LUX,24.2
197312,NPL,4.043276446
197312,NLD,28.4
197312,PRT,2.6
197312,SWE,18.0833
197312,USA,19.3
197401,AUT,27.1
197401,CAN,20.7
197401,CHE,43.9
197401,DEU,37.3048
197401,DNK,18.6
197401,FIN,16.3
197401,FRA,19.2
197401,GBR,12.4
197401,GRC,2.12259
197401,ISR,0
197401,ITA,7.3
197401,JPN,44.4
197401,KOR,7.626519638
197401,LUX,24.4
197401,NPL,3.979640513
197401,NLD,28.5
197401,PRT,2.6
197401,SWE,18.2826
197401,USA,19.3
197402,AUT,27.4
197402,CAN,20.8
197402,CHE,43.8
197402,DEU,37.6567
197402,DNK,18.6
197402,FIN,16.5
197402,FRA,19.4
197402,GBR,12.5
197402,GRC,2.07683
197402,ISR,0
197402,ITA,7.4
197402,JPN,45.8
197402,KOR,8.145767745
197402,LUX,24.8
197402,NPL,3.918481021
197402,NLD,28.9
197402,PRT,2.8
197402,SWE,18.5889
197402,USA,19.4
197403,AUT,27.7
197403,CAN,21.1
197403,CHE,44
197403,DEU,37.8081
197403,DNK,18.8
197403,FIN,16.8
197403,FRA,19.6
197403,GBR,12.6
197403,GRC,2.1704
197403,ISR,0
197403,ITA,7.5
197403,JPN,46.1
197403,KOR,8.37803949
197403,LUX,25.1
197403,NPL,3.854020735
197403,NLD,29.3
197403,PRT,2.9
197403,SWE,18.7361
197403,USA,19.6
197404,AUT,28.2
197404,CAN,21.3
197404,CHE,43.8
197404,DEU,38.2044
197404,DNK,19.1
197404,FIN,17
197404,FRA,19.9
197404,GBR,13.1
197404,GRC,2.18653
197404,ISR,0
197404,ITA,7.6
197404,JPN,46.9
197404,KOR,9.027212792
197404,LUX,25.4
197404,NPL,3.834393801
197404,NLD,29.8
197404,PRT,2.8
197404,SWE,18.709
197404,USA,19.8
197405,AUT,28.4
197405,CAN,21.6
197405,CHE,44.5
197405,DEU,38.3596
197405,DNK,19.4
197405,FIN,17.2
197405,FRA,20.2
197405,GBR,13.3
197405,GRC,2.22026
197405,ISR,0
197405,ITA,7.7
197405,JPN,47.7
197405,KOR,9.419941981
197405,LUX,25.6
197405,NPL,3.893730544
197405,NLD,30
197405,PRT,2.8
197405,SWE,18.7002
197405,USA,20
197406,AUT,28.4
197406,CAN,21.7
197406,CHE,44.7
197406,DEU,38.5044
197406,DNK,19.8
197406,FIN,17.3
197406,FRA,20.4
197406,GBR,13.4
197406,GRC,2.23951
197406,ISR,0
197406,ITA,7.8
197406,JPN,47.9
197406,KOR,9.604844105
197406,LUX,25.7
197406,NPL,3.885040539
197406,NLD,30.1
197406,PRT,2.8
197406,SWE,18.8644
197406,USA,20.2
197407,AUT,28.5
197407,CAN,21.9
197407,CHE,44.8
197407,DEU,38.6805
197407,DNK,20
197407,FIN,17.7
197407,FRA,20.7
197407,GBR,13.5
197407,GRC,2.25048
197407,ISR,0
197407,ITA,7.9
197407,JPN,48.7
197407,KOR,9.917777245
197407,LUX,26
197407,NPL,3.80122387
197407,NLD,30.2
197407,PRT,2.8
197407,SWE,18.9195
197407,USA,20.4
197408,AUT,28.6
197408,CAN,22.2
197408,CHE,45.2
197408,DEU,38.7928
197408,DNK,20.1
197408,FIN,17.7
197408,FRA,20.8
197408,GBR,13.5
197408,GRC,2.17411
197408,ISR,0
197408,ITA,8.1
197408,JPN,48.9
197408,KOR,9.865864952
197408,LUX,26.1
197408,NPL,4.933039826
197408,NLD,30.4
197408,PRT,3
197408,SWE,19.0941
197408,USA,20.7
197409,AUT,28.8
197409,CAN,22.4
197409,CHE,45.9
197409,DEU,38.8463
197409,DNK,20.5
197409,FIN,18
197409,FRA,21.1
197409,GBR,13.7
197409,GRC,2.27389
197409,ISR,0
197409,ITA,8.3
197409,JPN,49.4
197409,KOR,10.1465929
197409,LUX,26.3
197409,NPL,4.856360772
197409,NLD,30.9
197409,PRT,3
197409,SWE,19.2867
197409,USA,20.9
197410,AUT,29.2
197410,CAN,22.6
197410,CHE,46.1
197410,DEU,39.1085
197410,DNK,20.7
197410,FIN,18.3
197410,FRA,21.3
197410,GBR,13.9
197410,GRC,2.29003
197410,ISR,0
197410,ITA,8.5
197410,JPN,50.6
197410,KOR,10.36473051
197410,LUX,26.6
197410,NPL,4.848184144
197410,NLD,31.3
197410,PRT,2.9
197410,SWE,19.9286
197410,USA,21.2
197411,AUT,29.5
197411,CAN,22.8
197411,CHE,46.8
197411,DEU,39.3689
197411,DNK,21
197411,FIN,18.5
197411,FRA,21.6
197411,GBR,14.1
197411,GRC,2.33784
197411,ISR,0
197411,ITA,8.7
197411,JPN,51
197411,KOR,10.16817692
197411,LUX,26.8
197411,NPL,4.81530854
197411,NLD,31.5
197411,PRT,2.8
197411,SWE,20.1074
197411,USA,21.4
197412,AUT,29.8
197412,CAN,23
197412,CHE,47
197412,DEU,39.4222
197412,DNK,21.2
197412,FIN,18.5
197412,FRA,21.8
197412,GBR,14.2
197412,GRC,2.343
197412,ISR,0
197412,ITA,8.7
197412,JPN,51.1
197412,KOR,10.90493802
197412,LUX,27
197412,NPL,4.843698363
197412,NLD,31.6
197412,PRT,2.8
197412,SWE,20.1867
197412,USA,21.5
197501,AUT,30.1
197501,CAN,23
197501,CHE,47.3
197501,DEU,39.7656
197501,DNK,21.1
197501,FIN,19.1
197501,FRA,22
197501,GBR,14.4
197501,GRC,2.39787
197501,ISR,0
197501,ITA,8.9
197501,JPN,51.7
197501,KOR,9.77581147
197501,LUX,27.1
197501,NPL,4.77335918
197501,NLD,31.8
197501,PRT,3.1
197501,SWE,20.0645
197501,USA,21.5
197502,AUT,30.5
197502,CAN,23.3
197502,CHE,47.4
197502,DEU,39.9983
197502,DNK,21.2
197502,FIN,19.4
197502,FRA,22.1
