quarter,cc,index
200903,IRN,87.66692852
200903,IRQ,95.41357901
200903,ISL,78.1
200903,ISR,89.2
200903,ITA,91.2
200903,JAM,85.95802302
200903,JOR,94.18128064
200903,JPN,97.6
200903,KAZ,44.2
200903,KEN,95.00933026
200903,KGZ,93.2127962
200903,KHM,93.0042973
200903,KIR,104.4031631
200903,KNA,98.16869411
200903,KOR,88.1712
200903,KWT,95.73334964
200903,LAO,92.78280588
200903,LBN,94.8009307
200903,LBR,86.01454458
200903,LBY,99.20231182
200903,LCA,97.01052233
200903,LKA,91.94457492
200903,LSO,95.68193736
200903,LTU,92.4
200903,LUX,89.1
200903,LVA,96
200903,MAC,96.99014011
200903,MAR,99.60802398
200903,MDA,92.60565418
200903,MDG,91.11980268
200903,MDV,93.90655132
200903,MEX,79.9
200903,MKD,99.41978572
200903,MLI,97.16410049
200903,MLT,98.8072129
200903,MMR,89.63812093
200903,MNE,99.04109589
200903,MNG,91.01991061
200903,MOZ,89.98686597
200903,MRT,92.57314069
200903,MSR,106.1
200903,MUS,96.56893325
200903,MWI,97.62174405
200903,MYS,98.06651777
200903,NAM,92.92294371
200903,NCL,89.57
200903,NER,97.7782288
200903,NGA,83.9109479
200903,NIC,94.70422891
200903,NLD,90.8
200903,NOR,89.4
200903,NPL,87.0836877
200903,OMN,96.08591591
200903,PAK,85.98017814
200903,PAN,96.13520241
200903,PER,98.74009931
200903,PHL,95.30925695
200903,POL,89.4587
200903,PRT,92.4
200903,PRI,106.632
200903,PRY,94.88372093
200903,PSE,95.20431462
200903,QAT,102.1120631
200903,ROU,93.84243486
200903,RUS,92.38788846
200903,RWA,99.06481205
200903,SAU,93.85179923
200903,SDN,82.30471152
200903,SEN,99.44021028
200903,SGP,96.96004759
200903,SLB,100.4945077
200903,SLE,91.60815072
200903,SLV,98.91849116
200903,SRB,92.7388535
200903,SSD,95.70180088
200903,STP,84.26038533
200903,SUR,92.83437878
200903,SVK,90.91
200903,SVN,92.5
200903,SWE,95.4
200903,SWZ,93.99400983
200903,SYC,104.7993915
200903,SYR,95.30087752
200903,TCD,101.600826
200903,TGO,97.5380298
200903,THA,95.91612529
200903,TJK,91.22
200903,TLS,93.55628927
200903,TON,95.87672836
200903,TTO,89.42605455
200903,TUN,95.518298
200903,TUR,62.2139
200903,TWN,87.78
200903,TZA,94.09840716
200903,UGA,92.34304906
200903,UKR,89.65755794
200903,URY,91.92429562
200903,USA,89.7
200903,VCT,99.62112347
200903,VEN,72.52224474
200903,VNM,90.04054897
200903,WSM,99.28701708
200903,XKX,97.7307777
200903,YEM,89.38787826
200903,ZAF,72.9
200903,ZMB,89.28814912
200903,ZWE,96.64892852
200904,ABW,95.49818388
200904,AFG,96.00472519
200904,AGO,85.07838654
200904,ALB,97.01301494
200904,ARE,98.43093303
200904,ARG,105.73
200904,ARM,93.14884696
200904,ATG,76.094
200904,AUT,88.6
200904,AZE,93.9
200904,BDI,92.56242675
200904,BEL,90.1
200904,BEN,96.76790645
200904,BFA,99.75062344
200904,BGD,88.82594059
200904,BGR,98.46139155
200904,BHR,97.91380775
200904,BHS,98.25822047
200904,BIH,97.25653652
200904,BLR,92.23312573
200904,BOL,97.12176064
200904,BRA,68.3
200904,BRB,92.27002448
200904,BRN,99.71123088
200904,BWA,92.07167389
200904,CAF,98.73130351
200904,CAN,90
200904,CHE,101.3
200904,CHL,83.2
200904,CHN,96.86574393
200904,CIV,99.18609603
200904,CMR,98.87588365
200904,COD,125.6997238
200904,COG,98.837868
200904,COL,83.4
200904,COM,93.61954367
200904,CPV,97.1990916
200904,CRI,93.90405409
200904,CUW,96.04198557
200904,CYP,97.52719057
200904,CZE,92
200904,DEU,92.1726
200904,DJI,94.69635156
200904,DMA,96.14950683
200904,DNK,91.1
200904,DOM,92.23226836
200904,DZA,96.02143434
200904,ECU,96.77906223
200904,EGY,87.0339377
200904,ESP,92.3
200904,EST,86.6
200904,ETH,91.06276217
200904,FIN,91
200904,FJI,93.53481255
200904,FRA,93.2
